TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
R-MMU-2428924	IGF1R signaling cascade	0.125674250385341	-2.07406203412914	268	2	0.1	20	8672	114713,20741	Rasa2,Sptb
R-MMU-1266738	Developmental Biology	0.126091919323442	-2.07074411955988	851	4	0.2	20	8672	223435,327987,114713,20741	Trio,Med13,Rasa2,Sptb
R-MMU-2404192	Signaling by Type 1 Insulin-like Growth Factor 1 Receptor (IGF1R)	0.12644508440171	-2.06794718047144	269	2	0.1	20	8672	114713,20741	Rasa2,Sptb
R-MMU-381340	Transcriptional regulation of white adipocyte differentiation	0.127755415052753	-2.05763766290819	59	1	0.05	20	8672	327987	Med13
R-MMU-442533	Transcriptional Regulation of Adipocyte Differentiation in 3T3-L1 Pre-adipocytes	0.127755415052753	-2.05763766290819	59	1	0.05	20	8672	327987	Med13
R-MMU-416482	G alpha (12/13) signalling events	0.127755415052753	-2.05763766290819	59	1	0.05	20	8672	223435	Trio
R-MMU-913531	Interferon Signaling	0.131801774747562	-2.02645619154489	61	1	0.05	20	8672	15962	Ifna1
R-MMU-4420097	VEGFA-VEGFR2 Pathway	0.141312457672598	-1.95678182847448	288	2	0.1	20	8672	20741,114713	Sptb,Rasa2
R-MMU-5658442	Regulation of RAS by GAPs	0.143834131224359	-1.93909450981173	67	1	0.05	20	8672	114713	Rasa2
R-MMU-373760	L1CAM interactions	0.143834131224359	-1.93909450981173	67	1	0.05	20	8672	20741	Sptb
R-MMU-74752	Signaling by Insulin receptor	0.14449287728471	-1.93452506479189	292	2	0.1	20	8672	20741,114713	Sptb,Rasa2
R-MMU-194138	Signaling by VEGF	0.147689626687836	-1.91264232422105	296	2	0.1	20	8672	20741,114713	Sptb,Rasa2
R-MMU-204998	Cell death signalling via NRAGE, NRIF and NADE	0.147809589880708	-1.91183038840034	69	1	0.05	20	8672	223435	Trio
R-MMU-1483255	PI Metabolism	0.151767508076076	-1.88540548122598	71	1	0.05	20	8672	108083	Pip4k2b
R-MMU-199992	trans-Golgi Network Vesicle Budding	0.153739912428519	-1.87249298466897	72	1	0.05	20	8672	74438	Clvs1
R-MMU-6807878	COPI-mediated anterograde transport	0.153739912428519	-1.87249298466897	72	1	0.05	20	8672	20741	Sptb
R-MMU-421837	Clathrin derived vesicle budding	0.153739912428519	-1.87249298466897	72	1	0.05	20	8672	74438	Clvs1
R-MMU-2142753	Arachidonic acid metabolism	0.153739912428519	-1.87249298466897	72	1	0.05	20	8672	100043108	Cyp2c69
R-MMU-166166	MyD88-independent TLR3/TLR4 cascade	0.163536751792634	-1.8107175322981	77	1	0.05	20	8672	12475	Cd14
R-MMU-168164	Toll Like Receptor 3 (TLR3) Cascade	0.163536751792634	-1.8107175322981	77	1	0.05	20	8672	12475	Cd14
